,Date,AMB_TEMP,WIND_DIREC,WIND_SPEED,RAINFALL,RH,PM2.5,PM10
63,2015010315,20,121,0,0,49,13,40
64,2015010316,20,104,0,0,52,9,38
65,2015010317,18,108,0,0,57,10,33
66,2015010318,18,73,0,0,60,9,37
67,2015010319,17,59,0,0,61,11,31
68,2015010320,17,84,1,0,62,8,27
69,2015010321,17,75,0,0,63,5,21
70,2015010322,17,74,0,0,63,12,23
71,2015010323,17,89,0,0,62,20,20
72,2015010400,16,132,0,0,64,17,20
73,2015010401,15,110,0,0,70,18,14
74,2015010402,14,110,1,0,71,12,15
75,2015010403,14,107,0,0,72,16,18
76,2015010404,14,115,1,0,74,14,15
77,2015010405,13,114,0,0,75,15,10
78,2015010406,13,115,0,0,76,12,10
79,2015010407,13,317,0,0,78,11,19
80,2015010408,15,221,0,0,70,14,28
81,2015010409,17,164,0,0,63,14,23
82,2015010410,20,281,0,0,57,29,26
83,2015010411,22,289,0,0,51,32,39
84,2015010412,22,292,3,0,54,44,63
85,2015010413,22,300,0,0,62,41,80
86,2015010414,21,295,0,0,64,48,79
87,2015010415,21,296,0,0,67,44,76
88,2015010416,20,271,0,0,73,52,92
89,2015010417,18,198,0,0,77,51,101
90,2015010418,18,181,0,0,80,52,97
91,2015010419,17,233,0,0,82,39,68
92,2015010420,17,135,1,0,81,35,60
93,2015010421,16,311,0,0,82,39,61
94,2015010422,16,117,0,0,80,29,51
95,2015010423,16,120,0,0,80,21,37
96,2015010500,16,328,0,0,80,6,17
97,2015010501,15,317,0,0,83,15,27
98,2015010502,15,93,0,0,84,22,32
99,2015010503,15,262,0,0,83,28,30
100,2015010504,15,115,0,0,84,24,22
101,2015010505,14,59,0,0,83,14,13
102,2015010506,14,99,0,0,83,17,22
103,2015010507,15,343,0,0,82,18,31
104,2015010508,17,166,0,0,75,26,40
105,2015010509,20,229,1,0,66,30,51
106,2015010510,21,62,0,0,62,38,59
107,2015010511,23,158,0,0,58,0,0
108,2015010512,24,307,0,0,58,0,0
109,2015010513,21,294,2,0,73,45,0
110,2015010514,21,0,0,0,76,43,0
111,2015010515,20,223,0,0,77,41,0
112,2015010516,21,145,1,0,76,41,0
113,2015010517,21,118,0,0,74,44,0
114,2015010518,20,137,0,0,78,44,0
115,2015010519,19,115,0,0,73,38,0
116,2015010520,19,60,0,0,70,31,0
117,2015010521,18,114,0,0,72,20,0
118,2015010522,18,290,0,0,74,19,0
119,2015010523,17,66,0,0,76,19,0
120,2015010600,17,18,0,0,78,20,0
121,2015010601,17,96,0,0,78,13,0
122,2015010602,17,63,0,0,78,11,0
123,2015010603,18,37,0,0,77,11,0
124,2015010604,18,109,0,0,78,9,0
125,2015010605,18,307,0,0,77,7,0
126,2015010606,18,270,0,0,77,9,0
127,2015010607,18,154,0,0,78,14,0
128,2015010608,19,259,0,0,73,16,0
129,2015010609,21,336,0,0,66,20,0
130,2015010610,23,289,0,0,62,24,0
131,2015010611,24,249,2,0,59,27,0
132,2015010612,25,213,0,0,57,28,0
133,2015010613,24,262,0,0,59,0,0
134,2015010614,23,92,0,0,63,33,0
135,2015010615,21,76,0,0,71,39,0
136,2015010616,20,75,0,0,71,48,0
137,2015010617,20,92,2,0,72,59,0
138,2015010618,19,82,0,0,73,60,0
139,2015010619,19,86,3,0,73,51,0
140,2015010620,19,83,0,0,72,38,0
141,2015010621,19,98,0,0,73,29,0
142,2015010622,19,84,0,0,73,26,0
143,2015010623,18,111,0,0,76,19,0
144,2015010700,18,82,2,0,77,14,0
145,2015010701,18,302,0,0,76,16,0
146,2015010702,18,81,0,0,75,17,0
147,2015010703,18,29,0,0,72,16,0
148,2015010704,18,92,0,0,71,6,0
149,2015010705,17,116,0,0,71,7,0
150,2015010706,17,99,0,0,70,5,0
151,2015010707,17,92,0,0,70,3,0
152,2015010708,17,71,0,0,69,3,0
153,2015010709,17,99,0,0,69,3,0
154,2015010710,17,61,0,0,67,6,0
155,2015010711,17,56,0,0,67,0,0
156,2015010712,17,38,0,0,67,1,0
157,2015010713,16,124,0,0,67,3,6
158,2015010714,16,19,0,0,67,3,7
159,2015010715,16,75,0,0,67,8,10
160,2015010716,15,93,0,0,68,8,13
161,2015010717,15,202,0,0,68,7,11
162,2015010718,15,126,0,0,67,12,11
163,2015010719,14,232,0,0,67,11,22
164,2015010720,14,291,0,0,66,21,31
165,2015010721,14,340,3,0,65,13,40
166,2015010722,14,235,0,0,64,17,29
167,2015010723,14,267,0,0,65,19,29
168,2015010800,14,300,0,0,64,25,23
169,2015010801,14,0,0,0,62,25,36
170,2015010802,13,27,0,0,61,29,45
171,2015010803,13,25,0,0,59,35,57
172,2015010804,13,29,0,0,59,38,71
173,2015010805,12,28,0,0,61,42,79
174,2015010806,12,42,0,0,57,43,92
175,2015010807,12,55,0,0,56,42,93
176,2015010808,13,81,0,0,55,35,89
177,2015010809,13,54,0,0,56,42,88
178,2015010810,14,61,0,0,56,42,74
179,2015010811,14,63,0,0,56,39,39
180,2015010812,14,43,0,0,55,29,37
181,2015010813,14,57,0,0,57,33,62
182,2015010814,14,72,0,0,56,36,74
183,2015010815,14,72,0,0,55,40,82
184,2015010816,14,95,0,0,57,37,88
185,2015010817,14,81,0,0,58,43,78
186,2015010818,14,113,0,0,59,39,76
187,2015010819,14,110,0,0,58,35,76
188,2015010820,14,114,2,0,60,29,70
189,2015010821,14,111,2,0,61,26,70
190,2015010822,14,116,0,0,57,29,50
191,2015010823,14,115,1,0,58,19,48
192,2015010900,14,68,0,0,58,15,34
193,2015010901,15,93,0,0,60,8,26
194,2015010902,15,108,0,0,59,5,20
195,2015010903,15,98,0,0,57,5,14
196,2015010904,15,113,0,0,57,9,20
197,2015010905,14,112,0,0,58,16,25
198,2015010906,15,110,0,0,59,17,35
199,2015010907,15,60,2,0,58,19,36
200,2015010908,15,90,0,0,56,20,32
201,2015010909,16,94,0,0,56,25,33
202,2015010910,16,81,0,0,53,26,38
203,2015010911,17,88,3,0,53,31,47
204,2015010912,17,67,0,0,55,25,47
205,2015010913,18,76,0,0,54,33,50
206,2015010914,18,72,4,0,55,29,53
207,2015010915,17,93,0,0,58,36,62
208,2015010916,17,70,0,0,58,25,67
209,2015010917,17,84,0,0,61,30,62
210,2015010918,16,73,0,0,61,21,55
211,2015010919,16,89,0,0,60,25,50
212,2015010920,17,107,3,0,60,20,46
213,2015010921,16,113,2,0,61,21,41
214,2015010922,16,102,0,0,61,19,28
215,2015010923,16,115,0,0,61,13,30
216,2015011000,16,110,3,0,62,11,31
217,2015011001,16,134,0,0,61,12,26
218,2015011002,16,104,0,0,60,18,25
219,2015011003,16,87,0,0,59,19,17
220,2015011004,16,114,0,0,57,11,22
221,2015011005,16,112,0,0,57,10,21
222,2015011006,16,107,0,0,57,12,22
223,2015011007,16,101,3,0,59,14,34
224,2015011008,17,87,0,0,58,13,24
225,2015011009,17,95,0,0,57,13,33
226,2015011010,18,70,0,0,56,14,32
227,2015011011,18,73,0,0,53,16,40
228,2015011012,18,81,0,0,54,9,32
229,2015011013,18,99,0,0,52,14,33
230,2015011014,18,93,0,0,51,11,26
231,2015011015,18,82,0,0,52,23,37
232,2015011016,18,107,0,0,55,21,34
233,2015011017,17,118,0,0,57,25,48
234,2015011018,17,124,0,0,58,20,47
235,2015011019,17,129,0,0,57,24,51
236,2015011020,17,118,0,0,57,21,53
237,2015011021,17,106,3,0,58,21,63
238,2015011022,17,113,0,0,58,24,59
239,2015011023,17,111,0,0,59,28,68
240,2015011100,17,102,0,0,60,32,61
241,2015011101,17,102,0,0,60,37,64
242,2015011102,17,102,0,0,61,44,55
243,2015011103,17,104,0,0,61,39,50
244,2015011104,17,114,3,0,63,30,47
245,2015011105,17,113,0,0,63,18,43
246,2015011106,17,109,0,0,63,20,48
247,2015011107,17,116,0,0,61,25,54
248,2015011108,17,106,0,0,60,33,58
249,2015011109,18,112,0,0,59,29,51
250,2015011110,18,99,0,0,55,22,46
251,2015011111,18,86,0,0,53,19,50
252,2015011112,19,96,3,0,51,20,60
253,2015011113,19,91,0,0,52,25,70
254,2015011114,19,94,4,0,51,24,75
255,2015011115,18,108,0,0,51,26,70
256,2015011116,18,107,0,0,52,29,66
257,2015011117,18,104,0,0,54,31,64
258,2015011118,18,106,0,0,57,35,71
259,2015011119,18,103,0,0,57,31,64
260,2015011120,18,108,0,0,55,38,59
261,2015011121,18,110,0,0,55,31,56
262,2015011122,18,109,0,0,55,37,66
263,2015011123,18,96,0,0,55,28,71
264,2015011200,18,106,0,0,54,26,72
265,2015011201,18,99,0,0,54,23,73
266,2015011202,18,104,0,0,53,25,68
267,2015011203,18,104,0,0,51,30,73
268,2015011204,18,105,0,0,51,26,60
269,2015011205,18,107,0,0,50,21,59
270,2015011206,18,105,4,0,51,23,51
271,2015011207,18,103,0,0,52,24,53
272,2015011208,18,106,0,0,52,26,55
273,2015011209,19,106,0,0,52,25,57
274,2015011210,18,98,0,0,53,22,66
275,2015011211,18,104,0,0,56,23,70
276,2015011212,18,111,0,0,57,22,69
277,2015011213,18,110,4,0,59,25,58
278,2015011214,18,106,0,0,63,29,50
279,2015011215,18,105,0,0,67,29,50
280,2015011216,17,108,0,0,71,37,46
281,2015011217,17,105,0,0,74,31,44
282,2015011218,16,105,0,0,77,29,28
283,2015011219,16,114,5,0,77,13,23
284,2015011220,17,104,0,0,76,12,11
285,2015011221,17,108,5,0,76,10,12
286,2015011222,16,106,0,0,79,9,9
287,2015011223,17,99,0,0,80,5,7
288,2015011300,17,104,0,0,76,2,2
289,2015011301,18,111,0,0,72,7,9
290,2015011302,18,105,0,0,70,7,21
291,2015011303,18,97,0,0,70,11,32
292,2015011304,18,106,0,0,69,12,25
293,2015011305,18,105,0,0,69,15,14
294,2015011306,19,107,0,0,66,15,9
295,2015011307,19,108,0,0,66,10,6
296,2015011308,20,105,0,0,64,3,8
297,2015011309,21,116,0,0,62,3,7
298,2015011310,23,117,0,0,57,2,13
299,2015011311,23,128,0,0,58,7,39
300,2015011312,23,114,0,0,57,7,46
301,2015011313,23,125,0,0,57,7,50
302,2015011314,23,115,0,0,58,7,25
303,2015011315,23,126,0,0,58,3,20
304,2015011316,22,125,0,0,60,7,13
305,2015011317,22,128,0,0,62,12,20
306,2015011318,22,106,0,0,61,11,19
307,2015011319,22,164,0,0,62,19,31
308,2015011320,21,236,0,0,67,26,50
309,2015011321,20,261,3,0,75,33,66
310,2015011322,18,272,0,0,84,28,68
311,2015011323,17,281,0,3,88,12,45
312,2015011400,17,0,0,0,89,9,33
313,2015011401,17,308,0,0,87,9,26
314,2015011402,17,302,0,0,87,8,21
315,2015011403,17,27,0,0,88,6,13
316,2015011404,17,317,0,0,88,4,3
317,2015011405,16,313,0,0,88,10,6
318,2015011406,15,310,0,0,87,5,9
319,2015011407,14,302,4,0,86,3,12
320,2015011408,15,268,0,0,84,3,11
321,2015011409,15,270,0,0,82,5,7
322,2015011410,16,285,3,0,77,3,9
323,2015011411,17,273,0,0,74,0,10
324,2015011412,17,296,0,0,74,0,17
325,2015011413,17,296,0,0,70,1,24
326,2015011414,17,48,0,0,66,7,33
327,2015011415,17,0,0,0,61,8,33
328,2015011416,17,46,0,0,61,11,28
329,2015011417,16,111,0,0,64,8,15
330,2015011418,16,92,0,0,64,6,14
331,2015011419,16,95,0,0,64,6,7
332,2015011420,16,86,0,0,65,11,7
333,2015011421,16,58,0,0,64,8,9
334,2015011422,16,105,2,0,64,13,19
335,2015011423,16,86,0,0,64,12,31
336,2015011500,15,41,0,0,64,15,33
337,2015011501,15,93,2,0,65,11,26
338,2015011502,15,89,0,0,65,7,19
339,2015011503,15,91,0,0,67,8,25
340,2015011504,14,234,1,0,71,4,23
341,2015011505,15,109,2,0,65,10,32
342,2015011506,15,88,0,0,64,13,36
343,2015011507,16,79,0,0,65,17,51
344,2015011508,16,82,0,0,64,20,47
345,2015011509,16,63,0,0,63,21,51
346,2015011510,17,83,0,0,62,25,57
347,2015011511,17,96,0,0,62,20,55
348,2015011512,17,66,0,0,61,18,46
349,2015011513,17,90,3,0,62,19,34
350,2015011514,17,70,0,0,63,19,34
351,2015011515,17,99,0,0,64,20,25
352,2015011516,17,112,0,0,65,14,25
353,2015011517,17,97,0,0,65,11,26
354,2015011518,17,119,0,0,66,13,26
355,2015011519,17,114,0,0,66,10,28
356,2015011520,17,99,0,0,66,11,24
357,2015011521,17,76,0,0,66,4,25
358,2015011522,17,127,0,0,66,12,23
359,2015011523,17,114,0,0,67,11,24
360,2015011600,17,114,3,0,66,17,22
361,2015011601,17,122,0,0,68,10,21
362,2015011602,17,108,0,0,68,11,24
363,2015011603,17,135,0,0,67,15,22
364,2015011604,16,125,0,0,67,14,28
365,2015011605,16,139,0,0,68,14,26
366,2015011606,17,152,0,0,67,4,34
367,2015011607,17,120,2,0,66,8,29
368,2015011608,18,105,0,0,64,4,32
369,2015011609,19,90,0,0,61,14,33
370,2015011610,19,73,3,0,62,16,32
371,2015011611,20,76,0,0,60,0,0
372,2015011612,20,52,0,0,58,0,0
373,2015011613,20,39,0,0,60,19,35
374,2015011614,20,87,0,0,59,19,26
375,2015011615,19,93,0,0,61,21,29
376,2015011616,19,78,0,0,65,19,32
377,2015011617,18,130,0,0,67,27,57
378,2015011618,18,33,0,0,66,32,69
379,2015011619,17,63,0,0,67,34,60
380,2015011620,17,21,0,0,67,25,46
381,2015011621,17,287,0,0,67,17,37
382,2015011622,16,119,0,0,66,13,35
383,2015011623,16,87,0,0,61,18,37
384,2015011700,16,97,2,0,60,18,28
385,2015011701,16,85,0,0,59,22,36
386,2015011702,16,79,0,0,59,23,43
387,2015011703,16,69,0,0,59,35,59
388,2015011704,16,64,0,0,59,38,70
389,2015011705,16,86,3,0,59,50,76
390,2015011706,15,75,0,0,57,59,95
391,2015011707,15,74,0,0,55,74,112
392,2015011708,15,59,0,0,51,77,125
393,2015011709,15,86,0,0,52,70,119
394,2015011710,15,71,0,0,50,65,105
395,2015011711,15,89,0,0,53,60,96
396,2015011712,15,94,0,0,56,62,98
397,2015011713,15,81,3,0,56,62,114
398,2015011714,15,90,0,0,55,66,122
399,2015011715,16,71,0,0,55,69,128
400,2015011716,16,87,0,0,55,71,122
401,2015011717,16,97,0,0,55,73,123
402,2015011718,16,95,0,0,56,77,123
403,2015011719,16,109,0,0,61,81,124
404,2015011720,15,98,0,0,65,74,118
405,2015011721,15,98,0,0,60,65,94
406,2015011722,15,69,0,0,58,55,84
407,2015011723,15,107,0,0,57,48,69
408,2015011800,15,107,0,0,56,39,65
409,2015011801,16,110,0,0,57,31,47
410,2015011802,16,108,3,0,56,25,44
411,2015011803,16,108,0,0,57,23,49
412,2015011804,16,91,0,0,63,25,48
413,2015011805,16,99,0,0,66,23,38
414,2015011806,15,125,0,0,68,22,24
415,2015011807,16,110,0,0,67,18,21
416,2015011808,17,108,0,0,63,19,18
417,2015011809,18,93,2,0,62,18,31
418,2015011810,18,69,3,0,59,16,30
419,2015011811,19,96,0,0,57,17,34
420,2015011812,20,71,0,0,55,11,15
421,2015011813,20,66,0,0,55,11,14
422,2015011814,19,104,0,0,57,10,17
423,2015011815,19,115,0,0,59,15,30
424,2015011816,18,93,2,0,64,16,34
425,2015011817,17,67,0,0,65,13,32
426,2015011818,17,104,0,0,64,9,26
427,2015011819,17,95,0,0,62,7,27
428,2015011820,17,58,0,0,61,15,33
429,2015011821,17,96,1,0,61,18,43
430,2015011822,16,90,0,0,59,20,40
431,2015011823,16,90,0,0,59,19,43
432,2015011900,16,73,2,0,59,20,35
433,2015011901,16,63,0,0,58,24,36
434,2015011902,16,77,0,0,57,20,31
435,2015011903,16,81,3,0,58,20,32
436,2015011904,16,102,0,0,55,20,37
437,2015011905,16,100,0,0,52,23,36
438,2015011906,16,97,0,0,56,25,54
439,2015011907,16,96,0,0,54,32,65
440,2015011908,16,79,0,0,52,38,92
441,2015011909,16,87,3,0,51,46,102
442,2015011910,17,81,0,0,52,0,0
443,2015011911,17,72,0,0,52,43,109
444,2015011912,17,93,0,0,54,40,94
445,2015011913,16,82,0,0,55,43,89
446,2015011914,16,98,0,0,56,45,93
447,2015011915,16,91,4,0,56,42,99
448,2015011916,16,75,0,0,57,38,96
449,2015011917,16,90,3,0,56,39,87
450,2015011918,16,100,0,0,56,37,86
451,2015011919,16,69,4,0,55,39,77
452,2015011920,16,81,0,0,55,37,84
453,2015011921,16,111,0,0,56,40,80
454,2015011922,16,109,0,0,54,34,85
455,2015011923,17,110,0,0,52,33,76
456,2015012000,16,109,0,0,56,31,75
457,2015012001,16,101,0,0,58,34,78
458,2015012002,16,109,0,0,60,31,75
459,2015012003,16,107,0,0,60,24,85
460,2015012004,17,106,0,0,60,29,83
461,2015012005,17,102,0,0,61,29,92
462,2015012006,17,89,0,0,61,41,88
463,2015012007,17,112,0,0,59,35,92
464,2015012008,18,106,0,0,57,36,82
465,2015012009,19,83,0,0,56,29,79
466,2015012010,20,72,0,0,57,32,70
467,2015012011,20,83,0,0,59,33,79
468,2015012012,21,95,0,0,58,34,74
469,2015012013,21,93,0,0,58,34,73
470,2015012014,21,74,0,0,58,32,62
471,2015012015,21,96,0,0,59,34,68
472,2015012016,20,95,0,0,62,34,78
473,2015012017,19,79,0,0,65,34,83
474,2015012018,19,103,0,0,65,30,79
475,2015012019,19,104,0,0,64,31,75
476,2015012020,19,104,0,0,64,28,72
477,2015012021,20,99,0,0,63,29,59
478,2015012022,20,123,0,0,62,23,48
479,2015012023,20,144,0,0,64,23,45
480,2015012100,19,145,0,0,68,26,49
481,2015012101,18,142,0,0,78,28,54
482,2015012102,17,33,0,0,83,27,50
483,2015012103,17,282,0,0,86,22,46
484,2015012104,16,322,0,0,87,20,34
485,2015012105,16,217,0,0,87,22,29
486,2015012106,16,99,0,0,87,19,37
487,2015012107,17,134,0,0,86,26,51
488,2015012108,17,212,0,0,84,31,63
489,2015012109,18,156,0,0,79,39,71
490,2015012110,19,296,0,0,73,32,74
491,2015012111,21,272,0,0,62,26,71
492,2015012112,21,280,0,0,62,22,65
493,2015012113,21,298,0,0,62,23,67
494,2015012114,20,290,0,0,60,27,71
495,2015012115,20,305,0,0,60,28,70
496,2015012116,19,298,0,0,65,32,72
497,2015012117,17,72,0,0,68,37,69
498,2015012118,17,248,0,0,62,36,77
499,2015012119,16,299,0,0,64,38,63
500,2015012120,16,114,0,0,67,37,73
501,2015012121,15,119,0,0,71,36,55
502,2015012122,15,97,0,0,72,31,52
503,2015012123,14,113,0,0,74,28,35
504,2015012200,14,116,0,0,75,23,42
505,2015012201,13,119,1,0,76,21,36
506,2015012202,13,110,0,0,76,20,33
507,2015012203,13,112,0,0,77,27,23
508,2015012204,12,126,1,0,76,23,20
509,2015012205,12,101,0,0,75,28,20
510,2015012206,12,133,1,0,77,19,24
511,2015012207,12,301,0,0,74,27,34
512,2015012208,14,181,0,0,70,26,39
513,2015012209,16,170,0,0,63,40,61
514,2015012210,18,25,0,0,52,45,81
515,2015012211,18,87,0,0,48,56,109
516,2015012212,18,37,0,0,50,61,119
517,2015012213,18,83,0,0,49,65,130
518,2015012214,19,270,0,0,47,66,139
519,2015012215,18,274,0,0,48,66,132
520,2015012216,17,282,0,0,48,61,122
521,2015012217,16,86,0,0,54,59,115
522,2015012218,14,105,0,0,57,53,114
523,2015012219,14,338,0,0,57,53,101
524,2015012220,13,293,0,0,60,54,92
525,2015012221,13,19,0,0,59,54,80
526,2015012222,12,235,0,0,65,54,88
527,2015012223,12,119,0,0,66,48,78
528,2015012300,12,127,0,0,65,44,77
529,2015012301,12,141,0,0,65,38,75
530,2015012302,12,125,0,0,67,40,77
531,2015012303,11,122,0,0,66,48,86
532,2015012304,12,124,0,0,63,45,75
533,2015012305,11,137,0,0,64,39,61
534,2015012306,11,142,0,0,66,39,58
535,2015012307,12,130,0,0,62,41,71
536,2015012308,14,112,0,0,57,47,83
537,2015012309,16,99,0,0,52,44,73
538,2015012310,17,103,0,0,48,46,62
539,2015012311,18,111,0,0,46,38,46
540,2015012312,19,85,0,0,46,38,44
541,2015012313,19,65,0,0,45,35,47
542,2015012314,20,71,0,0,46,36,56
543,2015012315,19,77,0,0,48,34,60
544,2015012316,18,74,0,0,52,38,56
545,2015012317,17,91,0,0,57,38,59
546,2015012318,17,97,2,0,58,40,64
547,2015012319,16,104,0,0,59,41,63
548,2015012320,16,83,0,0,60,42,60
549,2015012321,16,66,0,0,59,40,62
550,2015012322,16,96,0,0,59,38,61
551,2015012323,16,63,1,0,59,37,58
552,2015012400,15,63,0,0,61,36,50
553,2015012401,14,120,0,0,64,37,48
554,2015012402,14,140,0,0,68,38,52
555,2015012403,14,123,0,0,67,40,49
556,2015012404,12,228,0,0,73,34,56
557,2015012405,12,276,0,0,77,37,51
558,2015012406,12,329,0,0,78,32,59
559,2015012407,12,277,0,0,77,42,67
560,2015012408,15,211,0,0,70,49,80
561,2015012409,19,120,0,0,52,51,80
562,2015012410,21,110,0,0,48,44,67
563,2015012411,22,136,0,0,44,34,66
564,2015012412,23,160,3,0,42,35,61
565,2015012413,23,103,0,0,38,29,65
566,2015012414,23,307,0,0,43,27,59
567,2015012415,21,313,0,0,56,28,69
568,2015012416,20,315,0,0,56,41,76
569,2015012417,19,322,0,0,52,46,79
570,2015012418,18,353,0,0,58,57,96
571,2015012419,17,91,0,0,60,60,98
572,2015012420,17,75,0,0,57,56,91
573,2015012421,15,123,0,0,62,39,69
574,2015012422,16,125,0,0,65,29,53
575,2015012423,18,117,0,0,63,28,47
576,2015012500,17,128,0,0,66,28,39
577,2015012501,17,82,0,0,63,25,40
578,2015012502,18,65,0,0,59,28,32
579,2015012503,19,72,1,0,54,23,34
580,2015012504,20,94,0,0,49,20,36
581,2015012505,20,85,0,0,48,13,44
582,2015012506,19,174,0,0,54,13,41
583,2015012507,17,212,1,0,63,22,42
584,2015012508,18,234,0,0,65,34,45
585,2015012509,20,183,0,0,68,42,49
586,2015012510,20,289,0,0,65,46,63
587,2015012511,20,284,0,0,71,41,59
588,2015012512,20,262,0,0,66,42,60
589,2015012513,22,293,0,0,61,38,60
590,2015012514,23,276,0,0,59,41,70
591,2015012515,23,280,0,0,57,39,74
592,2015012516,22,287,0,0,62,41,63
593,2015012517,21,15,0,0,66,41,66
594,2015012518,21,293,0,0,69,41,72
595,2015012519,19,209,0,0,77,38,78
596,2015012520,19,287,0,0,80,35,74
597,2015012521,18,251,0,0,82,31,65
598,2015012522,18,169,0,0,83,29,56
599,2015012523,18,0,0,0,81,29,47
600,2015012600,18,154,0,0,80,27,35
601,2015012601,18,193,0,0,79,22,32
602,2015012602,17,310,0,0,79,17,48
603,2015012603,17,358,0,0,80,15,50
604,2015012604,17,47,0,0,77,14,51
605,2015012605,17,61,0,0,78,18,33
606,2015012606,17,123,0,0,79,11,33
607,2015012607,17,312,0,0,81,21,32
608,2015012608,18,285,1,0,78,29,49
609,2015012609,19,202,0,0,73,40,70
610,2015012610,19,296,0,0,72,39,78
611,2015012611,19,240,2,0,75,29,69
612,2015012612,20,297,0,0,67,27,58
613,2015012613,21,296,0,0,65,24,47
614,2015012614,21,296,0,0,64,29,48
615,2015012615,21,233,0,0,64,34,41
616,2015012616,21,299,0,0,67,30,50
617,2015012617,19,267,0,0,78,29,53
618,2015012618,19,331,0,0,84,26,58
619,2015012619,18,267,0,0,85,32,55
620,2015012620,18,345,0,0,87,30,50
621,2015012621,18,313,1,0,87,31,53
622,2015012622,18,220,0,0,88,24,47
623,2015012623,18,207,0,0,89,29,45
624,2015012700,18,285,0,0,89,24,38
625,2015012701,18,173,0,1,89,28,37
626,2015012702,18,255,0,0,89,26,41
627,2015012703,17,223,0,0,90,28,45
628,2015012704,17,252,0,0,90,24,44
629,2015012705,17,247,0,0,90,21,36
630,2015012706,16,209,0,0,90,19,28
631,2015012707,17,13,0,0,90,17,26
632,2015012708,17,304,0,0,90,15,28
633,2015012709,17,124,0,0,86,16,36
634,2015012710,18,110,2,0,81,18,38
635,2015012711,18,92,0,0,78,19,36
636,2015012712,18,92,0,0,77,18,22
637,2015012713,19,96,0,0,74,17,17
638,2015012714,19,101,0,0,72,0,0
639,2015012715,18,73,0,0,72,11,0
640,2015012716,18,102,0,0,74,10,0
641,2015012717,18,87,3,0,70,4,0
642,2015012718,17,100,0,0,70,9,0
643,2015012719,17,94,0,0,70,10,0
644,2015012720,17,125,0,0,69,13,0
645,2015012721,16,112,0,0,70,11,0
646,2015012722,16,132,2,0,73,8,0
647,2015012723,16,82,0,0,70,4,0
648,2015012800,16,130,0,0,70,9,0
649,2015012801,16,110,0,0,74,13,0
650,2015012802,16,147,0,0,73,13,0
651,2015012803,16,116,0,0,71,9,0
652,2015012804,16,117,0,0,71,5,0
653,2015012805,16,94,0,0,71,7,0
654,2015012806,16,120,0,0,71,3,0
655,2015012807,16,116,0,0,72,6,0
656,2015012808,16,103,0,0,70,7,0
657,2015012809,16,100,0,0,69,9,0
658,2015012810,16,118,3,0,70,9,0
659,2015012811,16,108,0,0,69,6,0
660,2015012812,17,98,0,0,69,11,0
