,Date,AMB_TEMP,WIND_DIREC,WIND_SPEED,RAINFALL,RH,PM2.5,PM10
0,2015010100,16,84,0,0,59,71,159
1,2015010101,16,98,0,0,58,68,177
2,2015010102,16,75,2,0,59,65,177
3,2015010103,15,87,2,0,59,58,152
4,2015010104,15,86,0,0,60,53,125
5,2015010105,14,94,0,0,58,47,98
6,2015010106,14,89,0,0,59,47,90
7,2015010107,14,54,0,0,57,44,93
8,2015010108,14,73,0,0,55,42,101
9,2015010109,14,98,0,0,52,44,103
10,2015010110,14,45,0,0,51,42,102
11,2015010111,14,39,0,0,50,38,90
12,2015010112,14,50,0,0,50,36,84
13,2015010113,14,62,0,0,50,29,72
14,2015010114,13,33,0,0,52,28,80
15,2015010115,13,81,3,0,53,23,70
16,2015010116,13,95,0,0,52,23,67
17,2015010117,13,77,3,0,53,23,52
18,2015010118,12,107,0,0,53,19,48
19,2015010119,12,92,0,0,54,15,41
20,2015010120,13,94,0,0,55,7,32
21,2015010121,13,88,0,0,54,6,40
22,2015010122,13,102,0,0,53,6,46
23,2015010123,13,105,0,0,57,14,58
24,2015010200,13,111,0,0,57,17,50
25,2015010201,13,103,0,0,57,15,51
26,2015010202,13,89,0,0,57,11,48
27,2015010203,13,82,0,0,58,12,50
28,2015010204,13,76,0,0,57,16,41
29,2015010205,13,109,0,0,56,17,35
30,2015010206,13,111,0,0,58,15,26
31,2015010207,13,109,0,0,58,14,30
32,2015010208,14,120,2,0,56,17,33
33,2015010209,15,82,0,0,53,16,45
34,2015010210,16,77,0,0,52,14,45
35,2015010211,16,77,0,0,51,7,51
36,2015010212,17,82,0,0,49,6,58
37,2015010213,17,71,0,0,51,11,62
38,2015010214,16,90,0,0,52,17,55
39,2015010215,16,76,0,0,54,20,52
40,2015010216,15,89,0,0,56,18,46
41,2015010217,15,94,0,0,57,20,49
42,2015010218,15,93,0,0,56,16,39
43,2015010219,14,110,0,0,57,15,32
44,2015010220,14,117,0,0,57,9,27
45,2015010221,14,116,0,0,58,10,30
46,2015010222,14,105,0,0,58,9,37
47,2015010223,14,107,3,0,57,12,36
48,2015010300,14,84,0,0,57,10,28
49,2015010301,14,105,0,0,56,11,33
50,2015010302,14,102,0,0,59,8,32
51,2015010303,14,148,3,0,59,10,33
52,2015010304,14,113,0,0,60,5,31
53,2015010305,14,119,0,0,60,2,27
54,2015010306,14,117,0,0,60,4,27
55,2015010307,15,111,0,0,57,6,25
56,2015010308,16,101,0,0,56,12,28
57,2015010309,18,93,0,0,54,11,28
58,2015010310,19,111,0,0,52,9,19
59,2015010311,20,98,0,0,50,4,27
60,2015010312,20,110,0,0,48,0,23
61,2015010313,20,115,0,0,48,3,35
62,2015010314,20,128,0,0,48,5,36
